mcq_label,question_text,ques_type,ques_for_assessment_type,choiceA,choiceB,choiceC,choiceD,choiceE,correctChoice,puzzle_answer,difficultyLevel
Javascript,"Consider the following statements<br>var text = ""testing: 1, 2, 3""; // Sample text<br>var pattern = /d+/g // Matches all instances of one or more digits<br>In order to check if the pattern matches with the string “text”, the statement is",Multiple Choice Question,"1, 2, 3, 4",text==pattern,text.equals(pattern),text.test(pattern),pattern.test(text),,D,,LEVEL 2
JS Functions,Which of the following are examples of closures ?,Multiple Choice Question,"1, 2, 3, 4",Functions,Objects,Variables,All of the Above,,D,-,LEVEL 2
College_mock_round_1,"Akshesh, Brandy, Casy and Dinesh are four friends who live in the same area and work for the children in a nearby slum. One of them cooks the children's breakfast and each of the other three teach a different subject from mathematics, reading & writing and drawing. They study mechanical engineering, psychology, medicine and economics. Neither the economics nor the psychology student cooks breakfast. Brandy does not teach reading & writing. Dinesh is the medical student, and he does not cook breakfast. Casy teaches drawing. Akshesh studies mechanical engineering. Who teaches mathematics?",Multiple Choice Question,"1, 2, 3, 4",Akshesh,Brandy,Casy,Dinesh,,B,-,LEVEL 1
Java - Loops,"What will be the output of the following program?

class NestedFor
{
    public static void main(String s[])
    {
        int sum = 23;        

        for(int i = 2; i <= 5; i++ )
        {
            for(int j = 7; j <= 9; j++ )
            {
                sum += ( i * j);
            }
        }

        System.out.println(""sum = "" + sum);
    }
}",Multiple Choice Question,"1, 2, 3, 4",sum = 336,sum = 359,sum = 45,Compile error,,B,-,LEVEL 1
LR - Letter and Symbol,"In a certain code, PAPER is written as SCTGW. How is MOTHER written in that code?",Multiple Choice Question,"1, 2, 3, 4",ORVLGW,PQVJGT,PQXJJT,PQMTV,,C,-,LEVEL 2
Quiz 2,"What is the time complexity of the following code:-
   int ans=0;
while(n>0){
ans+=n;
n/=2;
        }",Multiple Choice Question,"1, 2, 3, 4",O(log(n)),O(sqrt(n)),O(n),O(n^3),,A,-,LEVEL 1
"Advanced JS with Error Handling - 26th December, 2019",How does Java Script store dates in objects of Date type?,Multiple Choice Question,"1, 2, 3, 4","The number of days since January 1st, 1900","The number of seconds since January 1st, 1970","The number of milliseconds since January 1st, 1970","The number of picoseconds since January 1st, 1970",,C,-,LEVEL 1
Ajax,Which of the following are the features of ajax?,Multiple Choice Question,"1, 2, 3, 4",Live data binding,Declarative instantiation of client components,Client-side template rendering,All of the above,,D,-,LEVEL 1
Node,How can we check the current version of NPM?,Multiple Choice Question,"1, 2, 3, 4",npm --ver,npm help,npm --version,None of the above,,C,-,LEVEL 1
DSA Dynamic Programming,"What is the time complexity of the DP solution in finding the maximum path sum in a triangular-matrix from the left column to bottom-right element, while allowed moves are right and bottom-right? Given: The triangle is right-angled isosceles, with equal sides having N elements.",Multiple Choice Question,"1, 2, 3, 4",O(1),O(N^2),O(N),None of the mentioned,,C,-,LEVEL 1
CSS,What property would you use to change the list style to show roman numerals instead of normal numbers?,Multiple Choice Question,"1, 2, 3, 4",list-style-type:upper-roman;,list-type:roman;,list-bullet-type:roman-numerals;,list-style:roman;,-,A,,LEVEL 2
LR - Letter and Symbol,"<p>Arrange the words given below in a meaningful sequence.
1. Income  2. Status  3. Education   4. Well-being  5. Job</p>",Multiple Choice Question,"1, 2, 3, 4","3, 1, 5, 2, 4","1, 3, 2, 5, 4","1, 2, 5, 3, 4","3, 5, 1, 2, 4",,D,-,LEVEL 2
Aptitude - Number Series Pattern Recognition,What number should be added to 231228 to make it exactly divisible by 33?,Multiple Choice Question,"1, 2, 3, 4",1,2,3,4,,C,-,LEVEL 1
Computer Networks,DHCP is the abbreviation of,Multiple Choice Question,"1, 2, 3, 4",Dynamic Host Control Protocol,Dynamic Host Configuration Protocol,Dynamic Hyper Control Protocol,Dynamic Hyper Configuration Protocol,,B,-,LEVEL 1
Introduction to JAVAScript- DAY 6,Javascript runs on the client side.,Multiple Choice Question,"1, 2, 3, 4",TRUE,FALSE,,,,A,-,LEVEL 1
DSA HashMap,What is the search complexity in direct addressing?,Multiple Choice Question,"1, 2, 3, 4",O(n),O(logn),O(nlogn),O(1),,D,-,LEVEL 1
HTML,"If the background image is smaller than the screen, what will happen?",Multiple Choice Question,"1, 2, 3, 4",It will be streteched,It will be repeated,It will leave a blank space at the bottom of your page,None of the above,-,B,,LEVEL 1
Sanskrit Open Course Final Exam,,Multiple Choice Question,"1, 2, 3, 4",लोकयानम् lokayānam,लोकयानेन lokayānena,लोकयानस्य lokayānasya,,,B,-,LEVEL 1
Javascript,Which of the following is not a WebSocket event?,Multiple Choice Question,"1, 2, 3, 4",open,close,error,deny,,D,,LEVEL 2
Database - 26/02/2020,What action does ’⋈‘ operator perform in relational algebra?,Multiple Choice Question,"1, 2, 3, 4",Output specified attributes from all rows of the input relation and remove duplicate tuples from the output,Outputs pairs of rows from the two input relations that have the same value on all attributes that have the same name,Output all pairs of rows from the two input relations (regardless of whether or not they have the same values on common attributes),Return rows of the input relation that satisfy the predicate,,A,-,LEVEL 1
JS Control Flow,"Choose the correct snippet from the following to check if the variable ""a"" is not equal the ""NULL"":",Multiple Choice Question,"1, 2, 3, 4",if(a!==null),if (a!),if(a!null),if(a!=null),,A,-,LEVEL 1
HTML,HTML is a subset of,Multiple Choice Question,"1, 2, 3, 4",SGMT,SGML,SGMD,none of these,-,B,-,LEVEL 2
Js-ass-2jul,hat will be the output of the following JavaScript code? <br /> <br />function compare() <br />{ <br /> int num=2; <br /> char b=2; <br /> if(a==b) <br /> return true; <br /> else <br /> return false; <br />},Multiple Choice Question,"1, 2, 3, 4",TRUE,FALSE,runtime error,compilation error,,A,-,LEVEL 2
Node,Which of the following methods can be used to write a file in Node.js?,Multiple Choice Question,"1, 2, 3, 4",fs.write(),fs.writeFile(),fs.createWriteStream(),,,A,-,LEVEL 1
Javascript,What if we put ; after if? does it really affect? Find the output of below Javascript<br><br>&lt;script&gt;<br> var a = 10;<br> if(a == 20);<br> document.write(a);<br>&lt;/script&gt;,Multiple Choice Question,"1, 2, 3, 4",Error,Nothing is printed,20,10,,D,,LEVEL 2
HTML,Tags and text that are not directly displayed on the page are written in _____,Multiple Choice Question,"1, 2, 3, 4",&lt;html&gt;,&lt;head&gt;,&lt;title&gt;,&lt;body&gt;,-,B,-,LEVEL 1
DSA Searching,"Given an array arr = {45,77,89,90,94,99,100} and key = 99; what are the mid values(corresponding array elements) in the first and second levels of recursion in binary search?",Multiple Choice Question,"1, 2, 3, 4",90 and 99,90 and 94,89 and 99,89 and 94,,A,-,LEVEL 2
DSA OOPS,"What would this code print?
<code>
public class Main {

  public static void main(String[] args) {
  
    TestClass c1 = new TestClass(2, 5.2);
    TestClass c2 = new TestClass(3, 7.5);
    System.out.println(c1.a + "", "" + c1.b);
  }
}

class TestClass {

  private int a;
  public double b;
  
  public TestClass(int first, double second) {
    this.a = first;
    this.b = second;
  }
}
</code>",Multiple Choice Question,"1, 2, 3, 4",Will show an error,"2, 5.2","3, 7.5","2, 3",,A,-,LEVEL 1
DOM Manipulation,"What will be the output of the following JavaScript code? <br /> <br />&lt;head id=""myHead""&gt; <br /> &lt;title&gt;My title&lt;/title&gt; <br />&lt;/head&gt; <br />&lt;p id=""demo""&gt;&lt;/p&gt; <br />&lt;script&gt; <br />function myFunction() <br />{ <br /> var x = document.head.id; <br /> document.getElementById(""demo"").innerHTML = x; <br />} <br />&lt;/script&gt;",Multiple Choice Question,"1, 2, 3, 4",demo,myHead,error,undefined,,A,-,LEVEL 2
CSS,"With, which tag you write the style rules directly within the document found<br>within the head of the document.",Multiple Choice Question,"1, 2, 3, 4",&lt;style&gt;,&lt;script&gt;,&lt;css&gt;,&lt;php&gt;,None of these,A,,LEVEL 3
ES6,"What’s the result of<br>foreach (k in {a: 10, b: 20})<br>{<br>// ...<br>}",Multiple Choice Question,"1, 2, 3, 4",Always SyntaxError,ReferenceError or possibly no error,Always ReferenceError,Iteration over the object values,Iteration over the object keys,B,,LEVEL 2
Aptitude Quiz - Calender,Find the number of odd days in 425 days.,Multiple Choice Question,"1, 2, 3, 4",3,4,5,6,,C,-,LEVEL 2
Aptitude - Permutation and Combination,"From a group of 7 men and 6 women, five persons are to be selected to form a committee so that at least 3 men are there on the committee. In how many ways can it be done?",Multiple Choice Question,"1, 2, 3, 4",564,645,735,756,None of these,D,-,LEVEL 1
Aptitude - Permutation and Combination,How many different words can be formed using the alphabets of “ HALLUCINATION “?,Multiple Choice Question,"1, 2, 3, 4",13!/(2!2!2!),13!/(3!2!2!2!),13!,13!/(2!2!2!2!),,D,-,LEVEL 2
Sanskrit Open Course Final Exam,"Look at the picture and select  appropriate answers.. 

बालिका ____भोजनं ददाति ।  
bālikā ____bhojanaṃ dadāti",Multiple Choice Question,"1, 2, 3, 4",शुनकस्य कृते śunakasya kṛte,शुनके śunake,शुनकः śunakaḥ,,,A,-,LEVEL 1
Node,"In Node.js, which of the following functions is used by an Express app to accept the middleware?",Multiple Choice Question,"1, 2, 3, 4",param,use,put,get,,B,-,LEVEL 1
Javascript,"What is the correct JavaScript syntax to write ""Hello World""?",Multiple Choice Question,"1, 2, 3, 4","System.out.println(""Hello World"")","println (""Hello World"")","document.write(""Hello World"")","response.write(""Hello World"")",,C,,LEVEL 2
HTML,The process of converting analog to digital video is:,Multiple Choice Question,"1, 2, 3, 4",Morphing,Sampling,Compression,Decompression,,B,-,LEVEL 1
Javascript,Which of the following type of variable is visible everywhere in your JavaScript code?,Multiple Choice Question,"1, 2, 3, 4",global variable,local variable,Both of the above.,None of the above.,,A,,LEVEL 2
Js Advanced,"What will be the output of the following JavaScript code? <br /> <br />set.add(""AngularJS""); <br />set.add(""Bootstrap""); <br />set.delete(""Bootstrap""); <br />document.writeln(set.size);",Multiple Choice Question,"1, 2, 3, 4",2,1,0,Undefined,,B,-,LEVEL 3
August Entrance Section - A Slot 2,"3, 4, 5, 12, 21, 38, __",Multiple Choice Question,"1, 2, 3, 4",72,71,78,80,,B,-,LEVEL 1
CSS,What is the background-color of &lt;span&gt; HTML element?<br>&lt;html&gt;<br>&lt;head&gt;<br>&lt;style&gt;<br>span {<br>color: blue;<br>background-color: yellow;<br>background: green;<br>background-color: currentColor<br>}<br>&lt;/style&gt;<br>&lt;/head&gt;<br>&lt;body&gt;<br>&lt;span&gt;text&lt;/span&gt;<br>&lt;/body&gt;<br>&lt;/html&gt;,Multiple Choice Question,"1, 2, 3, 4",blue,green,black,yellow,-,A,,LEVEL 3
Bfc,What npm stands for?,Multiple Choice Question,"1, 2, 3, 4",Node Package Manager,Node Project Manager,New Project Manager,New Package Manager,,A,-,LEVEL 1
HTML,HTML is a ___ language.,Multiple Choice Question,"1, 2, 3, 4",Markup,Scripting,Programming,All of the above,-,A,,LEVEL 2
HTML,What does the &lt;kbd&gt; tag define in an HTML page?,Multiple Choice Question,"1, 2, 3, 4",Defines keyboard input,Defines mathematical variable,Defines preformatted text,Defines computer output,-,A,,LEVEL 1
Node,Which of the following method resolves an ip address to an array of hostnames?,Multiple Choice Question,"1, 2, 3, 4","dns.reverse(ip, callback)","dns.resolve(hostname[, rrtype], callback)","dns.resolve4(hostname, callback)",None of the above.<br><br>,,A,-,LEVEL 1
LR - Letter and Symbol,"<p>ELFA, GLHA, ILJA, _____, MLNA</p>",Multiple Choice Question,"1, 2, 3, 4",OLPA,KLMA,LLMA,KLLA,,D,-,LEVEL 2
Javascript,What is the purpose of garbage collection?,Multiple Choice Question,"1, 2, 3, 4",Removes object with many reference,Removes object with reference,Removes object with invalid reference,Removes object with no reference,,D,,LEVEL 2
HTML,Graphics defined by SVG is in which format?,Multiple Choice Question,"1, 2, 3, 4",xml,css,html,,-,A,-,LEVEL 2
Node,Which CLI option can you use to debug a node script in Chrome DevTools?,Multiple Choice Question,"1, 2, 3, 4",#NAME?,#NAME?,#NAME?,#NAME?,,B,-,LEVEL 1
JS Math,Which of the following function of Number method forces a number to display in exponential notation?,Multiple Choice Question,"1, 2, 3, 4",toExponential(),toFixed(),toPrecision(),toLocaleString(),,A,-,LEVEL 2
Javascript,What is the purpose of the url json ?,Multiple Choice Question,"1, 2, 3, 4",Reference JSON formatted data,Belongs to JSON object,All of the Above,None of the Above,,A,,LEVEL 3
Node,"A Node.js project consists of three files: app1.js, app2.js, and app3.js. The code snippets of each of these files are given below. If we execute app2.js, then what output will be obtained?<br><br>app1.js<br><br>module.exports = {<br><br>value1: 'Hello'<br><br>}<br><br>app2.js<br><br>var app1 = require('./app1');<br><br>console.log('Initial value:',app1.value1);<br><br>app1.value1= 'World';<br><br>var app3 = require('./app3');<br><br>app3.js<br><br>var app3 = require('./app2');<br><br>console.log('Final value:', app3.value1);",Multiple Choice Question,"1, 2, 3, 4",Initial value: Hello<br><br>Final value: Hello,Initial value: Hello<br><br>Final value: World,Initial value: Hello<br><br>Final value: undefined,Initial value: Hello,,C,-,LEVEL 1
ES6,"What shows in the console?<br>function doAsync() {<br>return new Promise(function<br>(resolve, reject) {<br>resolve();<br>});<br>}<br>doAsync().then(function() {<br>console.log(true);<br>}).catch(function() {<br>console.log(false);<br>});",Multiple Choice Question,"1, 2, 3, 4",TRUE,FALSE,true and false,false and true,-,A,,LEVEL 1
Sanskrit-lecture-12-quiz-1,"Choose appropriate question word (from the given list) to get the answers as given                                    किम् , कुत्र, कति, कदा, कुतः, कथम् , किमर्थम्     kim , kutra, kati, kadā, kutaḥ, katham , kimartham
    बालिका नववादने विद्यालयं गच्छति |   bālikā navavādane vidyālayaṃ gacchati |",Multiple Choice Question,"1, 2, 3, 4",किम्  kim,कुत्र    kutra,कति   kati,कदा   kadā,कुतः   kutaḥ,D,-,LEVEL 1
HTML,Which of the following operating system support operating system virtualization?,Multiple Choice Question,"1, 2, 3, 4",Windows NTlp,Sun Solaris,Windows XP,Compliance,-,B,-,LEVEL 3
